pygame 2.1.2 (SDL 2.0.16, Python 3.10.2)
Hello from the pygame community. https://www.pygame.org/contribute.html
['/dev/video0']
         771455 function calls (765972 primitive calls) in 3.935 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
     34/5    0.000    0.000    0.049    0.010 <frozen importlib._bootstrap>:1022(_find_and_load)
133024/132975    0.054    0.000    0.121    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
     48/5    0.000    0.000    0.048    0.010 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      205    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       61    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:391(cached)
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     31/5    0.000    0.000    0.048    0.010 <frozen importlib._bootstrap>:664(_load_unlocked)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
       32    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     34/5    0.000    0.000    0.049    0.010 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1334(_path_hooks)
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1347(_path_importer_cache)
       32    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1390(_get_spec)
      129    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       32    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1422(find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1485(__init__)
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1491(<genexpr>)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1527(find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1578(_fill_cache)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1619(path_hook_for_FileFinder)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       30    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
     30/4    0.000    0.000    0.048    0.012 <frozen importlib._bootstrap_external>:877(exec_module)
       30    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:950(get_code)
        6    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        7    0.000    0.000    0.088    0.013 __init__.py:1(<module>)
       90    0.000    0.000    0.000    0.000 __init__.py:1009(_apply_region_unpack)
       92    0.000    0.000    0.004    0.000 __init__.py:1012(_convert)
        4    0.000    0.000    0.000    0.000 __init__.py:1019(_event_text_symbol)
       12    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:106(get_decoder)
       20    0.000    0.000    0.000    0.000 __init__.py:1078(<listcomp>)
       21    0.008    0.000    0.013    0.001 __init__.py:1085(_ensure_string_data)
        4    0.000    0.000    0.000    0.000 __init__.py:1085(_event_text_motion)
        1    0.000    0.000    0.026    0.026 __init__.py:109(have_ffmpeg)
       90    0.000    0.000    0.000    0.000 __init__.py:1091(_get_gl_format_and_type)
        4    0.000    0.000    0.000    0.000 __init__.py:1092(_event_key_view)
       60    0.000    0.000    0.000    0.000 __init__.py:1126(_get_internalformat)
        1    0.000    0.000    0.000    0.000 __init__.py:1143(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1163(_event_key)
        1    0.000    0.000    0.018    0.018 __init__.py:1165(get_data)
        1    0.002    0.002    0.002    0.002 __init__.py:1172(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1173(<listcomp>)
      222    0.007    0.000    0.008    0.000 __init__.py:1342(clear)
      231    0.001    0.000    0.543    0.002 __init__.py:1350(dispatch_event)
      152    0.000    0.000    0.001    0.000 __init__.py:1392(__init__)
       58    0.000    0.000    0.011    0.000 __init__.py:1398(__del__)
       62    0.292    0.005    0.295    0.005 __init__.py:1404(create)
      222    0.000    0.000    0.000    0.000 __init__.py:1441(_sync_resize)
        1    0.000    0.000    0.000    0.000 __init__.py:1482(_event_expose)
        1    0.000    0.000    0.000    0.000 __init__.py:1495(create_for_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1549(_event_focusout)
       19    0.000    0.000    0.006    0.000 __init__.py:155(load)
        1    0.006    0.006    0.006    0.006 __init__.py:1559(get_image_data)
        1    0.000    0.000    0.028    0.028 __init__.py:157(__init__)
       25    0.000    0.000    0.000    0.000 __init__.py:1590(get_texture)
      222    0.006    0.000    0.008    0.000 __init__.py:1597(blit)
      252    0.011    0.000    0.027    0.000 __init__.py:1622(blit_into)
       89    0.000    0.000    0.001    0.000 __init__.py:1626(get_region)
       89    0.001    0.000    0.001    0.000 __init__.py:1699(__init__)
        1    0.000    0.000    0.006    0.006 __init__.py:1719(get_image_data)
       11    0.000    0.000    0.001    0.000 __init__.py:1730(blit_into)
       59    0.000    0.000    0.000    0.000 __init__.py:1733(__del__)
        1    0.000    0.000    0.020    0.020 __init__.py:1829(__init__)
      222    0.001    0.000    0.020    0.000 __init__.py:1844(update)
       15    0.000    0.000    0.019    0.001 __init__.py:1859(set_fps)
      222    0.002    0.000    0.020    0.000 __init__.py:1871(draw)
      222    0.000    0.000    1.645    0.007 __init__.py:1894(_hook_flip)
        1    0.000    0.000    0.000    0.000 __init__.py:1899(__init__)
      222    0.001    0.000    0.002    0.000 __init__.py:1916(get_viewport)
      222    0.001    0.000    0.002    0.000 __init__.py:1926(get_color_buffer)
      222    0.000    0.000    0.000    0.000 __init__.py:2002(get_buffer_manager)
        1    0.000    0.000    0.000    0.000 __init__.py:2031(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:206(_create_xdnd_atoms)
      222    0.012    0.000    0.013    0.000 __init__.py:2081(blit_to_texture)
        1    0.000    0.000    0.000    0.000 __init__.py:214(decode_text)
        1    0.000    0.000    0.004    0.004 __init__.py:220(_create)
        1    0.000    0.000    0.000    0.000 __init__.py:227(DocumentLabel)
        1    0.000    0.000    0.000    0.000 __init__.py:234(__init__)
       97    0.000    0.000    0.000    0.000 __init__.py:249(_parse_data)
        1    0.000    0.000    0.000    0.000 __init__.py:271(get_max_texture_size)
        1    0.000    0.000    0.000    0.000 __init__.py:274(load)
        5    0.000    0.000    0.000    0.000 __init__.py:286(_nearest_pow2)
       15    0.000    0.000    0.019    0.001 __init__.py:287(text)
        2    0.000    0.000    0.000    0.000 __init__.py:299(_is_pow2)
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        2    0.000    0.000    0.000    0.000 __init__.py:322(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:328(namedtuple)
      695    0.000    0.000    0.029    0.000 __init__.py:332(__getattr__)
        7    0.000    0.000    0.007    0.001 __init__.py:340(__init__)
      226    0.000    0.000    0.000    0.000 __init__.py:346(__setattr__)
       97    0.000    0.000    0.017    0.000 __init__.py:347(add)
        7    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
       83    0.000    0.000    0.000    0.000 __init__.py:384(__getattr__)
      243    0.000    0.000    0.000    0.000 __init__.py:389(__init__)
       83    0.000    0.000    0.000    0.000 __init__.py:391(__getitem__)
